タイムコード,項目,書き起こし内容
25:58 - 27:03,プロンプト8+1公式の紹介,次に、プロンプト8+1の公式をお伝えします。8つの要素は、定条件、プロファイル設定、参考情報、名刺と動詞、出力形式、分隊指定で、これにプラス1の追加指示が加わります。この公式を使ってチャットGPTに正確な指示を出す方法を紹介します。
27:03 - 28:10,前提条件の設定,まず前提条件を設定することが重要です。いきなり「手紙を書いて」と言っても、チャットGPTは混乱します。前提条件として、目標や目的を示すことで回答の精度が上がります。
28:10 - 29:19,前提条件の実例,前提条件の例を紹介します。プロンプトを作成し、手紙の前提条件を入力した結果、前提条件付きの命令文は、前提条件なしよりも回答精度が高くなります。文章を作成する際、前提条件を使うことで精度が大きく変わります。
29:19 - 30:24,プロファイル設定の重要性,AIは「誰に書くのか」を重視します。例えば、48歳の妻に手紙を書く場合、その対象者に合わせたプロファイル設定を行うことが重要です。プロファイル設定によって、AIらしさがなくなり、より自然な文章が生成されます。
30:24 - 31:29,参考情報の提供,チャットGPTに何かを生成させる際には、参考情報を提供することが重要です。例えば、妻との出会いや感謝の理由など、具体的な情報を与えることで、クオリティの高い文章を生成できます。
31:29 - 32:35,名詞と動詞の重要性,命令文を作成する際、名詞と動詞の組み合わせが重要です。名詞を正確に選ぶことで、文章の精度が大きく変わります。感謝の手紙やラブレターなど、名詞を変えるだけで、文章の方向性が決まります。
32:35 - 33:10,形容詞の役割,形容詞は、命令文の最後の仕上げとして、文章の方向性を決める役割を持ちます。形容詞をうまく使うことで、文章の質が大きく向上します。名詞と形容詞の組み合わせが、文章の方向性を決定する重要な要素です。
33:39 - 34:44,プロンプトの基本構成,プロンプトは形容詞、名詞、動詞の組み合わせが基本です。この単語の選び方が重要で、単語によってクオリティが向上します。プロンプトの構成を意識することで、生成AIの回答精度が上がります。
34:44 - 35:48,出力形式の指示,出力形式を指定することで、回答内容が大きく変わります。例えば、カレーライスの作り方を表形式や会話形式で教えてほしいと指定するだけで、出力のスタイルが変わります。
35:48 - 36:55,参考フォーマットの指定,参考フォーマットを指定することで、より正確な回答が得られます。例えば、手紙の宛名や本文の書き方を指定すると、期待通りの形式で出力されます。
36:55 - 37:58,分隊の指定,分隊（トーンやスタイル）の指定によって、文章の雰囲気を変えることができます。フォーマルなスタイルやカジュアルなトーン、さらには特定の方言で書くことも可能です。
37:58 - 39:01,プラス1の追加指示,出力された文章に対して追加指示を行うことで、さらに調整が可能になります。例えば、文字数を減らしたり、情報を増やしたりするなど、微調整を行うための追加指示が「プラス1」です。
39:01 - 40:04,プロンプト8+1公式のまとめ,プロンプト8+1公式を活用することで、生成AIの回答精度が向上します。要点を押さえたプロンプト作成ができれば、期待通りの結果が得られやすくなります。
40:04 - 41:10,セミナー特典の案内,セミナー特典を入手するためには2つのパスワードが必要です。1つ目は「1258」、2つ目はセミナー終了後に提供されます。これらのパスワードを入力することで、特典を受け取ることができます。
41:10 - 42:15,チェーンプロンプトの紹介,チェーンプロンプトを理解することで、段階的に考えさせるプロンプト作成が可能になります。段階的に考えることで、より精度の高い結果を得ることができます。
42:15 - 43:19,オートプロンプトの紹介,オートプロンプトは、生成AIに自動で段階的な指示を出すことができる機能です。これにより、複雑なタスクを自動的に処理することが可能になります。
43:19 - 44:24,プロンプト8+1公式の応用例,プロンプト8+1公式、チェーンプロンプト、オートプロンプトを活用することで、AIが完全に書いた書籍が完成しました。この手法を使えば、短時間で高品質な文章を生成することが可能です。
44:24 - 45:27,ブログ記事作成プロンプトの紹介,SEO対策が施されたブログ記事をプロンプトで作成できます。この方法を活用することで、短時間で人間レベルの品質のブログ記事を作成することが可能です。
46:26 - 47:32,ジェミニ1.5プの紹介,営業資料の作成時にジェミニ1.5プが非常に役立ちます。参考フォーマットを指定することで、資料が安定して作成可能になります。
47:32 - 48:37,生成AI学校のカリキュラム,生成AIを学ぶための学校「秘書」では、8+1の公式、チェーンプロンプト、オートプロンプトを体系的に学び、生成AIのスキルを身につけることができます。
48:37 - 49:39,プロンプト教材と認定試験,映像教材やプロンプト公開を通じて、プロンプト技術をステップバイステップで学ぶことができ、生成AIエンジニアやコンサルタントの認定資格も取得可能です。
49:39 - 50:41,コミュニケーションとネットワーク,生成AI学校では5000人の生徒とコミュニケーションが取れるツールがあり、定期的に情報交換が行われています。ZOOM勉強会やオフラインの集まりも充実しています。
50:41 - 51:45,ZOOM勉強会とサポート,初心者向けのZOOM勉強会が週3回行われており、手取り足取りでサポートを受けられます。また、最新情報も随時提供されています。
51:45 - 52:51,速読講座の紹介,生成AIを活用するために速読スキルが推奨され、速読講座も提供されています。これにより、読み取るスピードを上げ、効率よく学習できます。
52:51 - 53:54,生成AI学校の会員サイト,学校に入会すると、専用の会員サイトから映像教材やプロンプトを学べます。コンテンツは豊富で、体系的に生成AIのスキルを身につけることができます。
53:54 - 54:58,プロンプト8+1公式の詳細,8+1の公式に基づく映像教材では、生成AIを使いこなすためのプロンプト技術を深く学ぶことができ、生徒がコメントを通じて意見を交換し合います。
54:58 - 56:03,自動プロンプトの紹介,プロンプト作成のプロセスを自動化する「自動プロンプト」も提供されており、ステップバイステップでプロンプトを自動生成する流れが学べます。
56:03 - 57:07,速読講座の効果,速読講座を受けた生徒の多くが、短期間で読解スピードが向上したと報告しており、実際に多くの方が速読スキルを身につけています。
57:07 - 58:13,学校のサポート体制,生成AI学校は教材を渡すだけでなく、サポート体制が充実しており、5000人の生徒が互いに助け合い、生成AIを深く学べる環境が整っています。
58:13 - 59:16,学費と特典案内,"通常の学費は498,000円ですが、特別価格として198,000円で提供されます。入会すると、反永久的にサポートが受けられ、映像教材も無制限で利用できます。"
59:16 - 1:00:19,サポートと教材の永続利用,一度入会すれば、反永久的にサポートを受けられ、教材も無制限でアクセスできます。長期にわたって生成AIの技術を習得することが可能です。
1:00:19 - 1:01:23,生成AI学校の追加特典,入会者は週3回のZOOM交流会やコミュニティに参加でき、生成AIに関する最新の情報を常に入手できます。
1:01:23 - 1:02:30,ノウハウの追加と更新,毎月ノウハウが追加され、生成AIの最新情報が提供されるため、常に新しい知識を身につけることができます。
1:02:30 - 1:03:34,お申し込み方法,メールやショートメールでお申し込みURLが送信され、特典価格でのお申し込みが可能です。不明点がある場合は、お問い合わせフォームから連絡が可能です。
1:04:38 - 1:05:43,チャットGPT無料版と有料版の違い,無料版でも十分学べるが、将来的には有料版を使うことを推奨。また、コミュニティ内で最新のLLM情報が共有されており、学び方を多角的に知ることができる。
1:05:43 - 1:06:47,絶滅食図鑑の予言,ホワイトカラーの仕事がAIによって置き換わり、今後は大失業時代が到来する。特に肉体労働へシフトすることで、さらに仕事がなくなる。
1:06:47 - 1:07:56,PDCAサイクルと生成AI,生成AIの登場で、従来のPDCAサイクルに変化が起き、実行部分が生成AIに置き換わる。これにより、作業効率が向上し、実行部分の仕事が減少する。
1:07:56 - 1:09:01,上流工程と下流工程の違い,計画、確認、改善は上流工程の仕事であり、実行は下流工程。下流工程の仕事が生成AIに置き換わる一方、上流工程の仕事が生き残る。
1:09:01 - 1:10:06,生成AIで必要なスキル,これから必要なスキルは、プロンプトを作る力、成果物を確認する力、プロンプトを改善する力の3つ。プロンプトを作れる人は、今後大きな強みとなる。
1:10:06 - 1:11:09,確認できるスキルの重要性,生成AIが作った成果物を確認できる能力が重要。速読スキルを使うことで、成果物の確認を効率的に行うことが可能になる。
1:11:09 - 1:12:13,プロンプトの改善能力,生成AIが作成した成果物を見直し、どの部分が改善すべきか判断できる能力が求められる。8+1の公式を理解していることが、改善を行う上で重要。
1:12:13 - 1:13:13,生成AIを活用する時代,これからの時代は、生成AIを活用できる人が成功する。プロンプトを上手く活用し、生成AIの能力を最大限に引き出すことが鍵となる。
1:13:29 - 1:14:36,セールスレターの作成,オートプロンプトやチェーンプロンプトを活用することで、セールスレターやLPの作成が1/10の労力で可能に。上流工程の仕事は確認作業だけで、確認が疲れないため、非常に効率的。
1:14:36 - 1:15:41,プロンプトの販売,プロンプトを作成して販売することが可能で、履歴書を分析するプロンプトを作成して50万円で販売した例を紹介。プロンプトの作成が利益を生む大きなチャンス。
1:15:41 - 1:16:45,教育ビジネスの重要性,2024年は教育ビジネスが非常に有望であり、生成AIを活用した教育ビジネスで大きな利益を上げられる可能性が高い。国が補助金を出しており、この分野は急成長中。
1:16:45 - 1:17:52,新しい産業の誕生,教育ビジネスの産業規模が拡大し、国からの支援を受けて成長する見込みがある。パソコンスクールや英会話スクールのように、新しいビジネスモデルが確立されつつある。
1:17:52 - 1:18:56,著作権フリーの教材,学校に入学した生徒には、私のノウハウを著作権フリーで提供。プロンプトや教材を自由に使ってビジネスに活用でき、ロイヤルティは一切不要。
1:18:56 - 1:20:00,プロンプトエンジニアの求人,プロンプトエンジニアの需要が高まり、月収100万円以上の求人が増加中。アメリカでは年収4000万円の求人も存在する。プロンプトエンジニアの資格取得は就職や転職に有利。
1:20:00 - 1:21:06,生成AIの成長期,生成AI産業は現在成長期であり、今行動すれば産業の拡大に伴い利益を得やすい。ライバルが少ないため、ビジネスの成功確率が高い。
1:21:06 - 1:22:09,ホワイトカラーの衰退,生成AIの普及によりホワイトカラーの仕事が衰退しつつある。生成AIの技術を学び、上流工程の仕事に移行することで、成長産業にシフトするチャンスがある。
1:22:09 - 1:23:16,生成AIツールの重要性,今後はITリテラシーだけでなく、生成AIリテラシーが求められる時代。生成AIツールを使いこなすことが、ビジネスの成功に直結する。
1:23:16 - 1:24:20,新しい産業革命,生成AI革命が新たな産業を作り出しており、今後3年間がビジネスチャンス。ライバルが少ない今こそ、生成AIを活用して成果を出すことが重要。
1:30:49 - 1:31:52,Twitter Xの活用とベースの知識,Twitter Xを活用して生成AIの最新情報を得ることが重要。基礎知識を持った上で、専門的な情報を吸収できるようになる。230時間の学習でベースを作り、その後は毎日30分で自然学習が進む。
1:31:52 - 1:32:56,生成AIの学習と将来の準備,生成AIの学習は将来のAIリテラシーを高める。新しい産業が誕生し、現在の職業に頼るだけでは収入は増えないため、生成AIの学習を始めるべき。
1:32:56 - 1:33:59,経営者に対する警告,生成AIを導入しない企業は新卒の採用や社員の定着に苦労する。経営者自身が生成AIを理解し、会社に導入することが重要で、これが会社の成長に直結する。
1:33:59 - 1:35:03,文系の時代の到来,今後は文系のプロンプトエンジニアが活躍する時代が到来する。文系の人が生成AIを使いこなすことで、理系のプログラミング能力に依存しない仕事が増える。
1:35:03 - 1:36:09,文系が得意なプロンプト作成,文系の人、特に女性や年配の人がプロンプト作成に向いている。これからの時代は文系7割、理系3割の人が活躍することになる。
1:36:09 - 1:37:14,自然学習の重要性,30年前にホームページ作成を学んだ経験が、自然学習を通じてインターネット産業の成長とともに役立った。生成AIも同じように、今学ぶことで将来の成長産業に対応できる。
1:37:14 - 1:38:19,新しい産業革命とチャンス,生成AI産業が成長期に入っており、今学ぶことで業界の成長とともに自分も成長できる。今が学ぶための絶好のタイミング。
1:38:19 - 1:39:23,新しい産業への挑戦,新しい産業に挑戦することが怖いかもしれないが、挑戦することで大きなチャンスを掴むことができる。生成AIにシフトすることで、成功する可能性が高まる。
1:39:23 - 1:40:28,職業の転換とシフト,20年前に建築業を辞めてIT産業にシフトした経験を基に、生成AIにシフトすることの重要性を強調。今は生成AIに全力を注ぐことで大きな成果を上げている。
1:41:34 - 1:42:40,生生成AI学校秘書の概要と価値,生成AI学校秘書には7つの教材があり、反永久サポートが提供される。プロンプトエンジニア資格取得や5000人の仲間との交流が可能。反永久的にノウハウのアップデートも行われる。
1:42:40 - 1:43:43,特典としての書籍プレゼント,セミナー終了後1時間以内に申し込んだ方に書籍を郵送でプレゼント。URLから住所と名前を入力して申請が必要。
1:43:43 - 1:44:46,URLと申し込みの有効期限,申し込みのURLは24時間以内で無効になる。大手企業の場合や特別な事情がある場合は問い合わせフォームから相談が可能。
1:44:46 - 1:45:50,値上げの可能性について,近いうちに値上げを検討しているため、今が最もお得なタイミングでの申し込み。価格は19万8000円だが、将来的にさらに高くなる予定。
1:45:50 - 1:46:57,セミナー終了とパスワードの案内,特典の2つ目のパスワードは翌日の昼頃に送付される予定。今すぐ申し込んで得点を手に入れることが推奨される。
1:46:57 - 1:48:00,生成AIの成長期における行動の重要性,生成AIは現在成長期にあり、今行動することが重要。ライバルが少なく、成功しやすい。成長期に学ぶことで将来大きな差をつけることができる。
1:48:00 - 1:49:03,生成AI全般の授業について,チャットGPT以外にも画像生成や音声生成など、さまざまな生成AIに対応している。プロンプト8+1の公式はどの生成AIにも対応可能。
1:49:03 - 1:50:06,生成AIの学習時間とアウトプットについて,230時間の学習時間にはアウトプットも含まれる。実際に5つのプロンプトを作成する課題もあり、時間を有効に活用することで生成AIをマスターできる。
1:50:06 - 1:51:10,高齢者の学習サポートについて,チャットワークとZOOM交流会を活用すれば、初心者でも簡単に学習できる。生成AIは特別なスキルがなくても結果を出せる。
1:51:10 - 1:52:14,正しいプロンプトの重要性,ハルシネーションの問題は正しいプロンプトを使用することで回避できる。プロンプト8+1の公式を使えば、精度の高い回答が得られる。
1:52:14 - 1:53:20,プロンプトの販売とマッチングサイトの構想,プロンプト研究所ではプロンプトの販売やコンサルタントのマッチングサイトを計画中。今後、優秀な認定コンサルタントには仕事の斡旋も検討している。
1:53:20 - 1:54:00,セミナー終了のまとめと今後の展望,セミナー後1時間以内に申し込みをすれば特典が得られる。生成AIの情報を常にキャッチし続けることで将来の成功につながる。
