ステップ	タイムコード	項目狙い	書き起こし
ステップ3-2	11:58 - 〜	各レベル別アプローチ手法の習得 - 手順2	っていうようなところでの興味を引けたりとか、もう、今は普通に世の中や常識だなと思われてること、貯金をすると、お金は減っていく一方ですとかですね。そういった真逆のことを言うっていうのは、一つ、お客さんの注意っていうのを引くことができます。あとは、最近どんなことに関心がある。っていうところも、是非ですね、えー、意識をしといて欲しいですね。ま、元々ここの層の人たちは、自分の関心ごとで、これ、自分の関心事しかアンテナを張ってないわけなんですよ。自分の関心事があることでしか見ないので、それ以外のものはバーッと呼び飛ばしちゃう、ま、スクロールしちゃうわけですよね。だから、自分の関心事があることであれば、スクロールせずに見る可能性があるので、どんなことにこの人たちは関心があるのかなっていうのを考える必要があります。で、もう一つは、やっぱ深いリサーチっていうのがやっぱ鍵になってきます。もう要はお客様の関心事から始めていかないと、お客様には届かないわけなので、見てくれないとなったら、もう広告文作っても書いても意味がないわけですよね。なので、何に本当に関心があるのかというところを、しっかりとして、調べて、リサーチをして、えー、作っていくっていうのが、かなりの大事になります。ただ、何度も言うように、この層へのアプローチは最も難しいので、まずはここを優先的にやるんじゃなくて、まずはサーチ、そしてインタレストっていうところを先に作っていくようにしましょうというのが、アプローチのやり方になります。で、次は、いよいよその広告を作るっていう面で、どういうリサーチをしやっていけばいいのかというところについて、お話をしていきます。
ステップ4-1	0:00 - 2:40	リサーチの3要素と価値訴求の理解 - 全体像	ステップ四、リサーチ4-1、三つのリサーチということで、えー、ここのステップ四では、リサーチのやり方についてお話をしていきます。でもリサーチ、かなり重要です、というところは、えー、何度もお話をしてきているので、ま、本当に広告を作るとなったら、お客様のリサーチっていうのが、えー、を作るパーツになってきます。なので、これをしっかりとやっていきましょう。で、三つのリサーチ、これはですね、まー、三つの項目をリサーチしていく必要があるということで、えー、何をリサーチするのかっていうのを考えていきます。で、まずリサーチする内容としては、一つ目、顧客ですね。見込み客って言われるところを、まずしっかりとリサーチする必要があります。で、二つ目に、商品、プロダクトっていうところをリサーチしていく必要があります。で、三つ目に、環境ですね。で、ま、この環境っていうのは、競合と環境になってきます。えー、ここの、ま、三つをそれぞれリサーチすることによって、もうお客様を広告で、新規で獲得ができるという形になっていくので、ま、特に環境っていうのは、結構重要な項目になってきますので、ま、しっかりとリサーチをしていきましょうということです。で、ま、下に書いてあるんですけど、この注意事項として、自分の想像で広告を作ってはいけませんということですね。ま、既にどっかに書いてることとか、お客様が言ってることを組み合わせるということが重要になっていきます。ま、コピーは、え、クリエイティブではなく、あのー、コネクティブというような言葉もあったりするので、お客さんの言ってることを考えるんではなく、コネクト、繋げていって、え、しっかりと報告を作っていくということをしていきましょう。リサーチの三つの目的ですね。えー、まずは何を目的としてリサーチをしていくのかなんですけども、一つ目に、価値訴求を決めるということですね。まー、どんなあなたの商品、あなたのビジネスで、お客様に与えられる価値があると思うんですけども、その価値っていうのは、えっと、お客様によって刺さる、刺さらないっていうのがあると思うんですよ。しかも、あなたの商品で提供できる価値って、一つだけじゃなかったりするわけですよね。じゃあ、Aっていう価値は、あのー、まー、あるお客さんには刺さるけども、Aっていう価値はもう1個のお客さんには刺さらない。でも、Bっていう価値の方は、もう1個のお客さんにはそっちの方がより強く刺さるとかっていうのがあったりするので、どの価値で訴求をしていくのかっていうのを決めます。で、広告のアイデアを探します。ま、この価値訴求でいこう、じゃあこういうアイデアでやっていこうというようなイメージですね。で、それを表現しているキーワードを最後に見つけて、ま、広告を作っていくというような形になります。じゃあ、価値訴求って何?
ステップ4-1	2:40 - 〜	リサーチの3要素と価値訴求の理解 - 手順1	というところで、えー、ま、よりちょっと詳しくお話をしていきます。で、リサーチで、まず最初に見つけるものになってきます。で、これは、もうそもそも何で、相手がこの商品を買うのかということを、まず最初に考えないといけないわけですよね。相手がこの商品を買う理由、これが分かっていれば、そこって価値があるわけですよ、相手にとっての。なので、まずそこをしっかりと探しましょう。で、自社だけが提供できて、他社には提供できない、差別化された、求められる価値っていうのを、ま、しっかりと見つけることができれば、ま、かなり強い価値にはなりますよね。なので、そこを、えー、どう提供していくかっていう形なんですけども、ま、例えば、実績を足すだけでも、他社には提供できない価値になる可能性はあるわけです。えー、例えばこのfacebook広告セミナーとかってやった時に、facebookの運用をいっぱいするような商品は世の中にあるけども、クリエイティブについて話をしてるセミナーはすごく少なければ、クリエイティブに特化した実績としては、もう百名の方が実績を出して、成果を上げているセミナーですよとかってなると、他社には提供できてない自社だけが提供できる、差別化された求められる価値という形になってくるわけです。で、えっと、次にですね、この価値訴求は、ターゲットごとに一つあるということなんですけれども、お客様は、ま、先ほどちょっとちらっとお話しした通り、その、その商品の全部の価値を求めてるとか、それ、その全部の価値に対して満足してるわけじゃなくて、何か一つだけこれがすごくいいから、これがすごく気に入ったからっていうような理由で買ってるパターンってやっぱ多いわけですよね。なので、あなたの商品、あなたのサービスの全てがいいと思って、もちろん全部いいとは思うんですけれど、その全部がいい、全部に納得して、これが全部あるから買うんじゃないんですよ。何か悩みがあって、何か解決したいことがあって、その解決できるのが、あなたの商品の一つの価値。これだから買うっていうのがすごく多かったりするので、今本当にお客様の、その、価値訴求、このターゲットには、この価値が当てはまるなっていうものをしっかりと見つける必要があります。で、顧客が変わると、当然価値訴求も変わっていきます。なので、あなたがターゲッティングするお客様には、このターゲティングAにはAの価値、ターゲティングBにはBの価値って形で、一つ一つ決めていくと、それがメッセージの核になっていくんですよね。で、広告を作るスタート地点としては、まず価値訴求を一つだけ決めて、広告を作りましょう。なので、そのターゲットに特化した広告を作るっていうイメージで考えてください。10人、10人ターゲットがいて、10人に受ける広告を作るんではなくて、10人中一人だけでも響くような広告を作るということを考えて、作っていただくと、強い広告ができます。で、価値訴求のポイント、どういうところがポイントになっていくかなんですけども、まずは、顧客のニーズに目を向ける必要があります。要は顧客目線で、どういうものを求めてるのかっていうところをしっかりと考える。このよくあるのが、商品を販売したりとか、これすごく刺さるだろうとか、これ顧客にとってめちゃめちゃいいだろうと思って、その価値を書いちゃう。でもそれって本当にお客さんが求めてるものと合ってないパターンっていうのがあるんですよね。だから、本当にお客さんの目線で、これめっちゃめちゃいいなっていうところのニーズに目を向ける必要があります。そして、自社でしか提供できないこと、まー、これはもう差別化ですよね。この要素っていうのも必要になってくるので、ま、一と二、両方を、えー、しっかりと入れた価値訴求っていうのを作っていくことを意識しましょう。なので、価値訴求を見つけるっていうところへ行くと、ま、お客様、顧客の問題、願望というところと、商品の解決能力と、競合とかの環境のところの、ま、この部分っていうところに価値訴求があるので、ま、ここをしっかりと見つけに行きましょうということになります。え、ターゲットごとに、ま、異なる価値訴求ですよ、というようなお話をさせていただいたんですけれども、ま、ちょっと図でお見せした方が分かりやすいかなと思うので、こんなイメージです。顧客層一っていうところに関しては、え、価値訴求一っていうのが刺さりますよと。じゃあ、この価値訴求一に対して広告文を作ろうということで、このhlっていうのは、ヘッドライン、見出しですね。見出しのことを指してるんですけども、この価値訴求一に対して、広告の見出しを三つ考えていこう。顧客層二に関しては、また違った価値訴求、こっちの価値訴求の方が響くだろうなっていうところで、この価値訴求に対して、えっと、ヘッドライン、見出しを三つ考えていこう。顧客層三に関しては、またそれとは一と二とは違った価値訴求が刺さりそうだから、その価値訴求でヘッドライン三つ考えていこうみたいな形で、それぞれの価値訴求ごとにヘッドラインを作っていくと。いうことをやっていきます。え、価値訴求の作り方ですね。ま、こちら順番としては、そのターゲットを決めて、そのターゲットが感じる価値をリサーチして、そのターゲットに魅力的なコピーを作るというような順番になっています。えー、まー、あのー、価値を考える時に、ま、こんなイメージで作っていくと、作りやすいですよっていうようなイメージで、ちょっとこちらを用意しました。え、この赤文字のところを、えー、ご自身の、ま、リサーチした内容によって、どんどん入れ替えて欲しいんですけども、ま、特定の問題を抱えているターゲットのための、独自の特徴によって、ベネフィットを提供する商品ですっていうようなイメージですね。ま、上の二つに関しては、特定の問題、ターゲットっていうのは、見込み客のリサーチから分かってくること。そして独自の特徴、ベネフィット、商品カテゴリーっていうのは、ま、商品のリサーチっていうところで、分かってくることになっていきます。で、えっとー、まー、例えばちょっと具体例で行けば、えー、新規客を自力で獲得したい小さい会社の社長のための、ウェブ広告で140万人獲得した。ま、140万人顧客を獲得したノウハウをベースにした、売れる広告の作り方が学べるスクールですとか、ですね。で、そういったところで、まー、ちょっと具体例を参考になんか作っていただければなと思います。で、この先ですね、えっと、やっていくことなんですけども、よりリサーチの細かいところを、どういった、リサーチをしていけばいいのか、具体的にお話をしていこうと思いますので、えー、是非ですね、えー、次のこうステップ四-4-2からですね、より細かいリサーチを一緒にやっていければと思います。
ステップ4-2	0:00 - 〜	顧客リサーチの具体的進め方	はい、ステップ四、リサーチ4-2、競合リサーチということで、まずは、リサーチの項目の中で、競合のリサーチをどうやっていくかということについて、お話をしていきます。え、競合の何をリサーチするのかということなんですけれども、まず一つ目は、オファーですね。要は、競合がオファーとして、何をお客様に提供しているのか、こちらをリサーチしていきます。それは、本なのか、プレゼントなのか、セミナーなのか、体験セミナーなのか、ということを、まずリサーチをしていきます。次に、競合の価値訴求ですね。どんな価値をアピールしているのかということを調べていきます。そして、その次に、競合が使っているキーワード、どんなキーワードを使っていて、一番強い言葉って何なのかということをリサーチしていきます。で、このリサーチの時に見るのは、広告だけじゃなくて、lpも見ることが重要です。で、その使っているキーワードとか、ワードとか、あと価値訴求のその成熟度っていうのも、実際に見ていく必要があるんですよね。ま、要はそのキーワードに対して、どれくらいその、いろんな競合が同じ言葉を使っているのか、何社も使っているのか、一社しか使ってない言葉なのかっていうところを、ま、見ていく必要があります。で、例えば、キーワードが集客っていうキーワードを考えた時に、集客っていうキーワードは、もう、何社も使ってるわけじゃないですか。なので、もうキーワードとして成熟しきってるわけですよね。だから、そのキーワードは成熟しきってるので、お客様から、お客様が集客っていう言葉を見た時に、何も新しさもないわけですよ。なので、もっと何か引きつけるキーワードに変えないといけないっていうことで、例えば、ま、よく使うのは集客かけるほにゃららみたいな、集客かけるインスターとか、集客かける、何々とかっていうような、ま、そういった工夫を一つ入れるだけでも、集客っていうキーワードに、とまーアレンジを加えて、えー、新しいキーワードを作ることができます。そして、そのキーワードを、またどれくらい成熟されてるのかっていうのを、えー、調べてみるというようなイメージになります。え例えば1時期ですね、速読っていうキーワードがもう成熟しきっていて、瞬読っていうキーワードが、この出てきた時があったんですね。で、まそれも一定数増えてきたなってなった時に、じゃあどういう風な、逆にキーワードだったら、引っ張ってこれるのか、もう速読も瞬読もすごい使われてる。じゃあ、逆に速読の嘘とかっていうような形で、逆をついてみるっていうような逆戦略っていうのも、打ったりできるわけですよ。なので、ま、本当に成熟度を調べることによって、もういろんな会社がそれを使っているのであれば、その逆を突くっていう戦略を打つとか、ま、新しいキーワードを考えるとかっていうところで、まー、常にそのキーワードっていうのを意識するっていうのが大事になります。で、これの競合の情報をどうやって調べればいいかっていうと、facebook広告の、あのー、サイトの中で、その広告ライブラリーっていうサイトがあるんですよね。広告ライブラリーっていうのをgoogleで検索いただくと、その、今facebook上に出ている広告が、検索かけられるようになってます。でも、あなたの競合が誰かが分かっているのであれば、その競合の名前で検索してあげると、その競合がfacebook広告を出してれば、その広告を見ることができますし、ま、同じ業界の中でいろんなものを調べてみたりとか、ま、世の中でのfacebook広告っていうのを、その広告ライブラリーで調べることができるので、ま、そちらでですね、ちょっと競合のリサーチっていうのを行ってみてください。ではですね、今のを踏まえて、まず競合を調査してみましょう。あなたの競合について、知っていることを書き出してみましょう。そして、えー、その競合の特徴をより詳しく調べるのに、広告ライブラリーとかを使って、えー、ぜひ、その競合のオファーとか、えー、キーワードとか、ま、価値訴求は何なのかというところについて、書き出してみていただければと思います。で、こちらを書き出したら、次のステップ四-4-3の方に進んでいくので、えー、そちらを見ていただければと思います。
ステップ4-3	0:00 - 〜	商品・競合リサーチの具体的進め方	次ですね、ステップ四、リサーチ、4-3、商品リサーチっていうことで、ま商品とか、そのオファーのリサーチっていうものを、ここでは行っていきます。で、じゃあどういった手順でやっていくのかっていうとこなんですけど、まず、前提として、知っておいて欲しいことなんですけど、広告と、セールスページ、まもしくはlpですね。というものの違いっていうのが、まず、あの、頭の中に入ってるかどうかっていうのはちょっと重要なので、こちらは説明させていただきます。ま、広告の目的って何かっていうと、lpにある商品のティーアップなんですよ。つまりは、売ることが目的ではなくて、興味を抱かせることっていうのが、広告では目的になります。これ結構勘違いされてる方が多くて、広告で売ろうとしちゃうんですね。それは絶対しちゃダメということです。セールスページのように、何かもうめちゃめちゃ強いベネフィット、すごいベネフィットが広告で必要というわけではないんですよ。で、さらにベネフィットを書き過ぎると、ま、ちょっとその審査的に通りにくいというようなこともあったりするので、lpの商品を魅力的にティーアップする、ま、興味づけをするというようなところでの考え方で、まずは広告っていうのを考えて欲しいと思います。じゃあ、その商品の何をリサーチしていくのかということで、まずは、あなたの商品の、トップベネフィット、トップスリーで、えー、これとこれとこれがとても強いベネフィットだなというものを、えー、まずリサーチします。そして、差別化要因ですね。競合の商品とか、他の商品とかと比べた時に、ま何が、あなたの商品の優位性になってくるのか、その差別化要因っていうのを調べていきます。そして、次に、証拠要因。これは、あなたの、そのー、商品、サービスの、ま、実績とか、こうその効果、結果を出せ、出せる証拠っていうところを、ま、集めてくるっていうのが大事になります。ま、お客様の声とかっていうのは、その一つでよく使われることですよね。その商品とかサービスっていうのが、他でもこんだけ、ま、お客様に使っていただいて、ま、実績出てますよというのが証拠要因なので、ま、こういった使い方っていうのは一つ、えー、ありかなと思いますし、ま、あとはデモ、デモンストレーションをして、えー、実際に証拠を証明するっていうようなやり方もあります。えっと、特徴とベネフィットの違いっていうところも、ちょっとしっかりと理解をしておく必要があります。ま、特徴とベネフィット、なんか、い、ごっちゃごちゃになってしまう方とかっていらっしゃるんですけども、実は違うものなんですよね。で、特徴って、商品そのものの価値で、ベネフィットは商品がもたらす結果とか変化なんですよ。で、これ、結構簡単な考え方があって、それは商品の特徴なのか、ベネフィットなのかって迷った時に、ま、whatisほにゃららか、whatだぞほにゃららで考えたら、結構簡単です。whatisほにゃらラって言ったら、これはもう丸々ですっていう、つまりは商品の特徴ですってことですよね。えっと、例えば、スマートフォンとかで、小さい、このスマホは小さいですっていうのは、特徴ですよね。商品目線の話なんですよ。でも、商品がもたらす結果とか変化っていうのは、whatthasなので、ま、その小さいことが何をしてくれるかっていう考え方なんですね。小さいことによって、ポケットにも入りますとか、えーとと、小さいことによって、持ち運ぶ際に重さを全く感じませんとか、お客様にとって、どういった何か結果を与えるのか、変化を与えるのかっていうのが、ベネフィットなので、ここは顧客目線。で、えー、答えていくものがベネフィットになります。なので、whatisなのか、whatthasなのかで置き換えて考えると、結構簡単に特徴かベネフィットかっていうところは、判断がついていきます。で、広告で使うベネフィットは基本一つです。で、何でトップスリーで先出すかっていうと、価値訴求を見極めるために、三つ出します。なので、えっとー、ベネフィットを三つ上げてもらう、トップスリーのベネフィット上げてもらって、ま、そん中で価値訴求としてはどれを使うのかということを見極めるために使っていただきます。なので、ここではもう特徴とベネフィットの違いっていうのを、ま、しっかりと意識して、ベネフィットをトップスリー上げれるようにしていきましょう。考え方は、さっきお伝えした、これは独自の特徴ですというのがwhatisです。で、それがあるので、具体的な問題を解決しますとか、ま、こういった症状を和らげますとかっていうのが、もたらす結果、what出すの方ですね。という考え方をしっかりと持ってください。じゃあ、えっと、まずトップスリーベネフィットっていうのを、えー、ここで書いていきましょう。この商品は何を解決するのか、どんな成分で何に効くのかっていうところで、えー、まずは、価値訴求を見極めるため、ま、探すためですね、えー、ここでベネフィットを書きましょう。これは別に広告を書くってわけじゃなく、どんなベネフィットがあるのかっていうのを書いていきます。で、ここで一つ、えっと、補足をしておくと、ま、あの、例えば、フロント商品で、何か無料レポートとかを売っていて、バックエンドでもう一つ商品がありますと。なので、最初はメールを登録してもらって、で、そっから価値提供をしていって、バックエンドを、えー、実はこういうものを売るつもりですっていう時に、えー、ここで考えるベネフィットっていうのは、フロント商品のベネフィットだけじゃなくていいです。バックエンドのベネフィットっていうのも入れてもらって大丈夫なので、ま、そこで考えていただければと思います。で、まー、このどんな症状を和らげるのか、ここは、今相手が経験していることっていうのを、より具体的にすれば、ま、刺さるベネフィットになるので、より相手のことを、ま、イメージして、書くようにしましょう。では、ここではですね、ま、ちょっと時間を止めて書いていただければと思います。で、書き終わったら、もう一回再生ボタンを押してください。はい、ではここではですね、差別化要因というものを考えていきます。で、差別化要因っていうのは何かっていうと、他社との違いですよね。それが何なのかっていうことを、まー、しっかりと書いていきましょうということです。で、他社との違いを生み出しているものっていうのは、そもそも何かっていうと、あなたの商品の特徴になってくるんですよね。で、あなたの商品の特徴を考えた時に、それが他社との違いになってくるので、ま、それをそれぞれ独自のシステム、仕組みとか、成分の製法とか、サービスとか、ま、他驚いたこと、意外だったこと、これは、お客様からいただいた声とかで、お客様が一番驚かれたこととか、ま、相手の予想と違ったこととかっていうのを挙げてあげるといいです。ま、そういったところで、えー、この四つの項目で差別化っていうポイントを書いていって欲しいなと思います。で、ただ、ポイントとしては、えー、購買意欲レベルのところでお伝えした通り、ま、サーチの人っていうのは、もう解決策を探してるので、競合との差別化っていうところで、特にこの、ここで挙げたポイントっていうのは、すごく刺さるんですけれど、まだその、インタレストとか、えー、あとはアテンションとか、その問題を感じてる、もしくは問題がまだ表面化してないっていう方に関しては、ここの差別化のポイントに関しては、使わない場合が結構あります。ま、まだそこまでレベルとしてはいってないので、その方たちには、ここで調べた内容は使わなくて、どちらかっていうと、もう今解決したいと思っているサーチの人たちには、こういったポイントっていうのは特に刺さってくるので、え、しっかりと、えー、調べておきましょうということです。で、ここまでも、えっとー、まずは書き出して、えー、いただきたいので、一旦止めていただいて、また書き終わったら再生をしていただければと思います。次にですね、証拠となるものというところで、まー、その証拠要因というものを上げていく必要があります。で、これ何で挙げとくかっていうと、そのー、あなたの、ま、商品とかビジネス、サービスっていうのが、いかに素晴らしかったとしても、広告を見ている顧客からすると、基本的には疑っているんですよね。物を買う購買の世界で言うと、誰も一番最初のお客さん、ま、ファーストペンギンになりたくないっていうのを結構思っているので、amazonとかで買う時でも、やっぱレビューを見るじゃないですか。これって本当に、なんかちゃんとした販売先なのかなとか、この商品使ってみて、なんかすぐ壊れたとかそういうのないのかなとか、まー、誰か試した人、誰か買ってやってみたものっていうのを、やっぱり最初、レビューを確認するっていうのが、もう人が物を買う時の差がなので、しっかりと、その社会的証明がある、実績があるっていう方が、やっぱ買ってもらいやすくなると。なので、あなたが出せる証拠となるもの、実績、メディア露出とか、データとか推薦とか、ま、証拠となるものをどんどん書き出していきましょう。えー、じゃ、こちらもですね、同じように書き出していただいて、書き終えたら、次のステップ四-4-4に進めればと思いますので、えー、そちらでまた続きのお話をしていきましょう。
ステップ4-4	0:00 - 5:32	リサーチ結果のまとめ方 - 全体像	ステップ四、リサーチ4-4、顧客リサーチ。はい、じゃあ次にですね、リサーチの最後の項目、顧客リサーチについてお話をしていきます。ま何をリサーチするのかということなんですけども、もうお客様の、ま問題、悩みっていう現状のまず状態をリサーチしていただいて、次に、理想とか願望ですよね。まー夢に見ている未来というところを、リサーチしていきます。で、まー、問題悩みと、この理想の願望、夢に見ていることですね。ま、ここが、かなり広告となっ、広告の中では、核となってくるものなので、ま、ここをしっかりと、えー、掘り起こしていくというところで、ま、まず問題悩みを聞いて、そっから、より深く聞いていくと。で、それは、お客さんのビリーフ、信じてることとか、フィーリング、感じてることとかですね。ま、より信念、常識、今感じてることっていうところを、ま、深く掘れれば掘れるほど、あの、お客様に刺さる広告が作れるというところになっていくので、特にそのアテンション、ま、意識をしてない無意識とか、えー、無関心っていうお客様には、もうここの項目って必須になってくるので、ま、そこを、えー、しっかりとリサーチしていきましょう。えー、じゃあまず理想と願望っていうのは何なのかというところなんですけども、えー、ま、ここはもう項目としては、そのどうなりたいのか、何がしたいのか、何が欲しいのかという三つの項目を特に意識していただければと、思っています。え、例えば、どうなりたいのか、これは、ま、お客様がどういう状態になったら、理想的なのかというところを、え、しっかりと、ま、リサーチをしていくと。で、何がしたいのか、これは、そのためには、何をする必要があるのか、ま、そういった状態になるためには、何をするような必要があるのかということですよね。で、何が欲しいのか、ここは、えー、何を手に入れたいのかっていうところです。ま、感情的なところとかっていうのももちろん含めて聞いて欲しいなと思います。何かその、ま、例えば、年収1,000万を超えたい、ま、お金が欲しいだけじゃなくて、それを手に入れたことによって、どんな感情になりたいのか、もう、いつもお金の心配をするような不安っていうのがなくなって、えー、日々の生活っていうところには、お金の心配のない安心感を手に入れたいのかとか、そういったところですよね。感情的なところも、しっかりと聞いていただくのが大事です。じゃあ、えっと、実際にですね、理想と願望というのは何なのかっていうところを、ま、お客様のその理想、願望っていうのを書き出してみましょう。で、ここで注意していただきたいのは、あなたのお客様が使っている言葉で書くようにしましょう。あなたが普段使う言葉、あなたのビジネスサービスで使う言葉ではなく、あなたのお客様が使っているであろう言葉で書き出すようにしましょう。で、これも、えっと、まず書いていただいて、えー、書き終えたら、えー、また続きを再生していた、いただければと思います。ではですね、次、問題、悩みですね。今現状の問題とか悩みは何なのかっていうところで、こちらでまー掘り起こしていく項目としては、何で困っているのか、そして、何が障害になっているのか。そして、何で悩んでいるのかっていうところになります。え、要は、ここってもう、課題が何なのかとか、そのために必要なタスクって何なのかっていうのを、ま、調べていくので、何に困っている、何が障害になってる、何で悩んでるっていうところを、しっかりと聞いていく必要があります。で、さらに、その感情的なところを揺さぶるためには、この下に書いてある、お客様、は、その商品が無かったら、どんなひどいことが起こるのかっていうことを是非聞いていただきたいですね。じゃあ、その最悪の未来、痛みのある未来っていうところが、どういうものなのかが分かりますし、そうなった時の感情っていうところを、やっぱしっかりと聞いていただくことで、おか、お客様により刺さる訴求ができるので、ま、そこを是非リサーチ、ヒアリングをしていくということをしていただきたいなと思います。では、えー、同じように今度問題、悩みっていうのが何なのか、これも、あなたのお客様が使っている言葉を、しっかりと用いて、書き出してみましょう。これもですね、えっとー、一旦止めていただいて、書き終えたらまた再生をしていただければと思います。では、えー、次ですね。はい、では次はですね、顧客リサーチの二つの方法ということで、ま実際ですね、そのお客様のリサーチをしていく時に、どういう風にリサーチを進めていけばいいのかというところについて、お話をしていきます。まずは、対人、顧客からのリサーチというところですね。まー、あのー、あなたの商品を買った既存客とか、あとはターゲットとよく似た人とかに、ヒアリングをしていく、っていうのが大事です。でも、対面でヒアリングをするのが、やっぱり一番、あの、お客様の情報としては聞いていきやすいので、えー、どんどん聞いていくっていうのが大事ですね。で、ポイントとしては、ま、その既に商品を買ったっていう人から、ヒアリングをしていきながら、その問題とか、悩みとか、あと理想とか願望とか、ま、そのために、他に何かしたことっていうのを、やっぱ聞いていく必要があります。何を試したのかとか。で、ま、そのヒアリングのポイントとしては、縦に深く掘っていく、それはなぜですか?
ステップ4-4	5:32 - 5:33	リサーチ結果のまとめ方 - 手順1	具体的にはどんなことですか?
ステップ4-4	5:33 - 5:38	リサーチ結果のまとめ方 - 手順2	っていう縦に深く掘っていく方法と、横に聞いていく、他には何かありますか?
ステップ4-4	5:38 - 5:39	リサーチ結果のまとめ方 - 手順3	他には何かありますか?
ステップ4-4	5:39 - 6:28	リサーチ結果のまとめ方 - 手順4	っていう聞き方の二つの、えー、ヒアリングの掘り方があります。ま、縦、縦掘り、深めに掘っていくのと、横に広く広めていくヒアリングですね。ま、それを両方使って、えー、より聞いていくようにしましょう。で、えっと、おそらくヒアリングすると、例えば二人ヒアリングしたら、AさんもBさんも答えは違うと思うんですよ。同じ答えっていうのはなかなかないと思うので、そう、その答えが違うのであれば、その分広告でテストをしてみると。ま、よりどっちが実はターゲット層に近いのかっていうのは、テストをしてみないと分からないので、そこはテストをしてみましょうというところです。で、重要なのは、もうお客様が使っている言葉っていうのま、一番重要なので、ま、その言葉を、えー、重視して、ま、例えばこの質問例でいくと、えー、そもそも何でこの商品を買ったんですか?
ステップ4-4	6:28 - 6:33	リサーチ結果のまとめ方 - 手順5	っていうようなところを聞いたりとか、あとは何かきっかけとかあったんですか?
ステップ4-4	6:33 - 〜	リサーチ結果のまとめ方 - 手順6	というようなところを聞いて、ま、質問をどんどん広げていったらいいんじゃないかなと思います。で、本当にですね、ま、言葉が重要ですとお話をしてるので、言葉をより具体的にして欲しいんですよ。えー、まずはその一人の人にしっかりと刺さるっていうところまでやって欲しいんですね。例えば、ダイエットをしているお客様だったら、そのダイエットでの目的とか、ダイエットを何でやってるのかとか、そのダイエットっていう言葉でも、痩せたいのか、えー、他の目的があるのかとか、いろいろあると思うので、そこをより、ま、浮かぶれをしていくと。だからダイエットの結果、血糖値をもっと下げたいっていう話かもしれないですよね。だから、美容っていうお客様であれば、美容って、ホワッとしてるじゃないですか、抽象的で。美容をどういうところの美容っていうのを、特に、その方は悩みを持っていたのか、実は、シミがあって、シミを消したいと思ってるとかだと、より具体的になるわけですよね。だから、そういった形で、具体的にしていって欲しいなと思います。で、えっと、もうお客さんは、基本的には、今顕在している意識とか、その悩みとかっていうのしか回答出てこないんですよ。なので、あなたがヒアリングする際には、ま、一緒に買った理由を、あなたの商品を購入した理由を探すつもりで、一緒に探すつもりで、ヒエヒアリングをしていくと、よりお客様の深いところっていうのを聞いていけるので、ま、そのイメージで、是非やっていただきたいなと思います。で、次に、え、二つ目ですね。もう1個のリサーチの方法としては、ドキュメントからのリサーチ。まアンケートとか、あと関連書籍とか。あと、ウェブページとかですね、ま、そういったところからのリサーチっていうものも可能です。で、それも、ま、どんな言葉を使っているのかっていうのは、やっぱり意識して、繰り返し出てくるキーワードとか、あとトピックスとかですね、そういうものは、見つけていく必要があるかなと思います。なので、あなたのもし既存客がいて、対面でヒアリングができないんでば、あれば、アンケートを取るとか、ですね。あと関連する本、ジャンルの本っていうのも見ていくという必要があります。で、えっとー、書籍の場合のリサーチですけれども、書籍であれば、ま、前書き、とか、あとどういう人に向けられて書かれた本なのか、で、悩みと解決策、あと平積みになってる本とかっていうので、ま、見ていくといいんじゃないかなと思います。えー、以上が、ま、リサーチのお話になってくるので、えー、まー、本当に、その、お客様が、ま、理想的にどんな風になりたいのか、で、それがかなう、かなってないので、ま、どういう風な悩みを抱えていて、で、こんな情報とかを手に入れていて、こんな風に思い込んでしまってるなと、ま、結果こんな気持ちになってるから、えー、他社、まー、あなたの競合とかですね、他社からはこんなオファーが来てんだなというところを意識していくと、リサーチっていうのは、かなり、深くまでできるんじゃないかなと思いますし、ま、相手をこちらに向かせるためのメッセージっていうのも、どんどん書いていけると思うので、ま、何ていう声をかけるのかというところをしっかりとリサーチをしていければ、えー、よりいい広告が作れると思います。まずはこのリサーチっていうものをしっかりやっていきましょう。
