タイムコード,項目狙い,書き起こし
35:48 - 36:55,実務での再現性確保,参考フォーマットを指定することで、より正確な回答が得られます。例えば、手紙の宛名や本文の書き方を指定すると、期待通りの形式で出力されます。
36:55 - 37:58,トーン調整の具体手法,分隊（トーンやスタイル）の指定によって、文章の雰囲気を変えることができます。フォーマルなスタイルやカジュアルなトーン、さらには特定の方言で書くことも可能です。
37:58 - 39:01,微調整のノウハウ,出力された文章に対して追加指示を行うことで、さらに調整が可能になります。例えば、文字数を減らしたり、情報を増やしたりするなど、微調整を行うための追加指示が「プラス1」です。
39:01 - 40:04,理解の定着,プロンプト8+1公式を活用することで、生成AIの回答精度が向上します。要点を押さえたプロンプト作成ができれば、期待通りの結果が得られやすくなります。
40:04 - 41:10,特典獲得への動機づけ,セミナー特典を入手するためには2つのパスワードが必要です。1つ目は「1258」、2つ目はセミナー終了後に提供されます。これらのパスワードを入力することで、特典を受け取ることができます。
41:10 - 42:15,高度化テクニックの導入,チェーンプロンプトを理解することで、段階的に考えさせるプロンプト作成が可能になります。段階的に考えることで、より精度の高い結果を得ることができます。
42:15 - 43:19,効率化手法の提示,オートプロンプトは、生成AIに自動で段階的な指示を出すことができる機能です。これにより、複雑なタスクを自動的に処理することが可能になります。
43:19 - 44:24,実践効果の証明,プロンプト8+1公式、チェーンプロンプト、オートプロンプトを活用することで、AIが完全に書いた書籍が完成しました。この手法を使えば、短時間で高品質な文章を生成することが可能です。
44:24 - 45:27,収益化の具体例提示,SEO対策が施されたブログ記事をプロンプトで作成できます。この方法を活用することで、短時間で人間レベルの品質のブログ記事を作成することが可能です。
46:26 - 47:32,ビジネス応用の具体例,営業資料の作成時にジェミニ1.5プが非常に役立ちます。参考フォーマットを指定することで、資料が安定して作成可能になります。
47:32 - 48:37,学校の学びの全体像の提示,生成AIを学ぶための学校「秘書」では、8+1の公式、チェーンプロンプト、オートプロンプトを体系的に学び、生成AIのスキルを身につけることができます。
48:37 - 49:39,資格・キャリア価値の提示,映像教材やプロンプト公開を通じて、プロンプト技術をステップバイステップで学ぶことができ、生成AIエンジニアやコンサルタントの認定資格も取得可能です。
49:39 - 50:41,コミュニティの価値訴求,生成AI学校では5000人の生徒とコミュニケーションが取れるツールがあり、定期的に情報交換が行われています。ZOOM勉強会やオフラインの集まりも充実しています。
50:41 - 51:45,継続サポートの安心感,初心者向けのZOOM勉強会が週3回行われており、手取り足取りでサポートを受けられます。また、最新情報も随時提供されています。
51:45 - 52:51,学習効率化の訴求,生成AIを活用するために速読スキルが推奨され、速読講座も提供されています。これにより、読み取るスピードを上げ、効率よく学習できます。
52:51 - 53:54,コンテンツの充実度アピール,学校に入会すると、専用の会員サイトから映像教材やプロンプトを学べます。コンテンツは豊富で、体系的に生成AIのスキルを身につけることができます。
53:54 - 54:58,カリキュラムの専門性の証明,8+1の公式に基づく映像教材では、生成AIを使いこなすためのプロンプト技術を深く学ぶことができ、生徒がコメントを通じて意見を交換し合います。
54:58 - 56:03,高度学習内容の具体化,プロンプト作成のプロセスを自動化する「自動プロンプト」も提供されており、ステップバイステップでプロンプトを自動生成する流れが学べます。
56:03 - 57:07,速読講座の効果実証,速読講座を受けた生徒の多くが、短期間で読解スピードが向上したと報告しており、実際に多くの方が速読スキルを身につけています。
57:07 - 58:13,サポート体制の安心感,生成AI学校は教材を渡すだけでなく、サポート体制が充実しており、5000人の生徒が互いに助け合い、生成AIを深く学べる環境が整っています。
58:13 - 59:16,価格の正当化・特別感の演出,"通常の学費は498,000円ですが、特別価格として198,000円で提供されます。入会すると、反永久的にサポートが受けられ、映像教材も無制限で利用できます。"
59:16 - 1:00:19,長期利用の価値訴求,一度入会すれば、反永久的にサポートを受けられ、教材も無制限でアクセスできます。長期にわたって生成AIの技術を習得することが可能です。
1:00:19 - 1:01:23,申込への追加動機づけ,入会者は週3回のZOOM交流会やコミュニティに参加でき、生成AIに関する最新の情報を常に入手できます。
1:01:23 - 1:02:30,継続的な価値の訴求,毎月ノウハウが追加され、生成AIの最新情報が提供されるため、常に新しい知識を身につけることができます。
1:02:30 - 1:03:34,行動のハードル引き下げ,メールやショートメールでお申し込みURLが送信され、特典価格でのお申し込みが可能です。不明点がある場合は、お問い合わせフォームから連絡が可能です。
1:04:38 - 1:05:43,有料版の優位性訴求,無料版でも十分学べるが、将来的には有料版を使うことを推奨。また、コミュニティ内で最新のLLM情報が共有されており、学び方を多角的に知ることができる。
1:05:43 - 1:06:47,緊急性・危機感の喚起,ホワイトカラーの仕事がAIによって置き換わり、今後は大失業時代が到来する。特に肉体労働へシフトすることで、さらに仕事がなくなる。
1:06:47 - 1:07:56,時代の転換認識,生成AIの登場で、従来のPDCAサイクルに変化が起き、実行部分が生成AIに置き換わる。これにより、作業効率が向上し、実行部分の仕事が減少する。
1:07:56 - 1:09:01,学習の戦略的重要性の認識,計画、確認、改善は上流工程の仕事であり、実行は下流工程。下流工程の仕事が生成AIに置き換わる一方、上流工程の仕事が生き残る。
1:09:01 - 1:10:06,学校で学ぶ価値の訴求,これから必要なスキルは、プロンプトを作る力、成果物を確認する力、プロンプトを改善する力の3つ。プロンプトを作れる人は、今後大きな強みとなる。
1:10:06 - 1:11:09,学校カリキュラムの網羅性アピール,生成AIが作った成果物を確認できる能力が重要。速読スキルを使うことで、成果物の確認を効率的に行うことが可能になる。
1:11:09 - 1:12:13,改善スキルの価値訴求,生成AIが作成した成果物を見直し、どの部分が改善すべきか判断できる能力が求められる。8+1の公式を理解していることが、改善を行う上で重要。
1:12:13 - 1:13:13,今すぐ行動する動機づけ,これからの時代は、生成AIを活用できる人が成功する。プロンプトを上手く活用し、生成AIの能力を最大限に引き出すことが鍵となる。
