Chapter-Page,Template,Prompt
11,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section: The Solution Appears  **[Visual Direction]** Panel 1: David appears on a video call window on Alex's secondary monitor. He looks calm and helpful. Panel 2: David holding up a finger, explaining a concept. Alex looks attentive. Panel 3: Alex looks excited, ready to type.  **[Target Text]** Panel 1 David: """"You can solve that with **@Mentions**. We used `@Codebase` in Chapters 1 and 4, but when you want to show **only specific files**, use `@Files`."""" Panel 1 David: """"If you write `@log.py`, Cursor will reference **only that file** to answer."""" Panel 1 Alex: """"I can specify files. I want to try it.""""  Panel 2 Alex: """"How do I choose between `@Codebase` and `@Files`?"""" Panel 2 David: """"**When you know the specific file** Å® `@Files`. **When you want to search the entire project** Å® `@Codebase`."""" Panel 2 David: """"There's also `@Recommended` where Cursor **recommends related files**. Let's try it in `daily_log`."""""
12,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1], [Ref: REF_IMG_3]  **[Heading]** - Section: Opening Scene (Continued)  **[Visual Direction]** Panel 1: [Ref: REF_IMG_1] (Alex) recalls a memory of Chapter 5. A small flashback bubble shows the word """"Agent"""". Panel 2: [Ref: REF_IMG_3] (David) appears on a video call window on Alex's screen. He looks calm and helpful. Panel 3: Split screen. Alex looks excited while David explains. David gestures with a finger raised.  **[Target Text]** Panel 1 Alex (Thinking): """"I used Agent briefly in Chapter 5, and it was mentioned that it can handle **multi-step tasks**. Can I let Agent handle this?""""  Panel 2 David: """"Let **Agent** handle that. If you instruct it to 'fix the `--day` feature to display """"No log for that day"""" when there are 0 matching lines, and test and verify it'."""" Panel 2 David: """"Agent will **think step by step and do fix Å® run Å® verify** for you."""" Panel 2 Alex: """"I can let it handle multiple steps together. I want to try it."""""
13,Cover,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1], [Ref: REF_IMG_3]  **[Heading]** - Section: Chapter 9: Debugging Made Simple  **[Visual Direction]** (Full-page cover illustration. High-quality manga style. The background is a split composition. On one side, a dark, intimidating computer screen filled with red error text (Tracebacks). On the other side, a bright, clean interface of Cursor IDE radiating a soft blue light. [Ref: REF_IMG_1] (Alex) stands in the middle, looking from the dark screen to the bright one with a look of realization. [Ref: REF_IMG_3] (David) stands behind him, pointing confidently toward the Cursor interface. Title text is prominent: """"Chapter 9: Debugging Made Simple"""".)  **[Target Text]** Chapter 9: Debugging Made Simple  Turn Errors into Learning Opportunities."
14,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Opening Scene  **[Visual Direction]** Panel 1: David appears on a video call window on Alex's screen. He looks calm and professional. Panel 2: David is explaining, using hand gestures to signify breaking things apart. Panel 3: Alex looks intrigued, realizing there is a solution.  **[Target Text]** Panel 1 David: """"It's great that the code works, Alex. But having everything in `main()` makes it hard to maintain."""" Panel 1 David: """"When you want to add features or fix bugs, you won't know where to look. We need to organize it."""" Panel 1 Alex: """"Organize it? You mean splitting it up?""""  Panel 2 David: """"It's great that the code works. However, having everything in the `main()` function makes **reviewing it later difficult**."""" Panel 2 David: """"When you want to **add features** or **fix bugs**, you don't know **where to fix**."""" Panel 2 David: """"Using Cursor's **Chat** or **Composer** to **organize code into functions** makes it **more readable and usable**."""" Panel 2 Alex: """"What are the benefits of splitting into functions?"""""
15,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section 10.1: The Problem?""""The Code Works, but Can It Be Improved?""""  **[Visual Direction]** Panel 1: Alex looks skeptical. He gestures to the screen where the code is running successfully. Panel 2: David smiles and counters the argument gently. Panel 3: Alex leans forward, ready to try.  **[Target Text]** Alex: """"But David, the code works perfectly. Is there really a need to fix it?"""" Panel 1 David: """"Even if it works, 'Technical Debt' accumulates. Splitting it now makes future work easier."""" Panel 1 David: """"Think about it: If you split it into `get_log_message()` and `write_log()`, you instantly know where to look if the file writing fails."""" Alex: """"I see... reducing the scope of bugs. Okay, I want to try refactoring `daily_log`."""""
16,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section 10.2: When to Refactor  **[Visual Direction]** Panel 1: David holds up a finger, explaining the """"Signs"""". Panel 2: Alex looks at his code again, realizing it matches the description. Panel 3: Alex looks overwhelmed.  **[Target Text]** Panel 1 David: """"Refactoring isn't random. There are signs."""" Panel 1 David: """"Is the code too long? Is the same logic repeated? Are function names unclear?"""" Panel 1 David: """"Do you need comments just to explain complex logic?"""" Alex: """"My `main()` function is huge... that's definitely a sign."""" Alex: """"But where do I even start? It feels risky to move things around."""""
17,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section: Opening Scene ? The Fear of Breaking Code  **[Visual Direction]** Panel 1: Alex is sitting at his desk in a modern apartment, looking stressed. On his monitor, a code editor is open showing `log.py`. He is hesitating to type. Panel 2: Close up of Alex's finger hovering over the Enter key. He looks worried. A thought bubble shows a mental image of his code shattering like glass. Panel 3: David appears on a video call window on the screen, looking calm and reassuring.  **[Target Text]** Alex (thinking): """"I want to improve the --day feature... But what if I break the normal log append function?"""" Alex (thinking): """"It works now when I test it manually... but checking every single time is so tedious. And risky."""" David: """"You can solve that by writing **tests**, Alex. They automatically verify your features aren't broken whenever you change code."""""
18,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section 11.1: The Problem ? """"I Don't Know How to Write Tests""""  **[Visual Direction]** Panel 1: David is explaining with a finger raised. Alex is listening intently. Panel 2: Alex looks skeptical, imagining a clock showing wasted time. Panel 3: David smiles and gestures to the Cursor interface. Alex looks relieved.  **[Target Text]** Panel 1 David: """"First, understand **why**. Even if code works now, it might break later."""" Panel 1 David: """"Tests verify everything is safe with one command."""" Panel 1 Alex: """"But can't I just check manually every time?""""  Panel 2 David: """"Manual checking takes time and you might miss things. Tests are instant and precise."""" Panel 2 Alex: """"But I don't know how to write test code...""""  Panel 3 David: """"That's okay! You don't need to learn the syntax from scratch."""" Panel 3 David: """"**Cursor generates them for you**. You just need to understand the results."""""
19,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex  **[Heading]** - Section: Opening Scene  **[Visual Direction]** Panel 1: [Ref: REF_IMG_1] (Alex) is sitting at his desk, typing furiously into the Cursor Chat panel. He looks annoyed and tired. Panel 2: Close up on Alex's screen (over shoulder). He is typing """"Use snake_case, comments in Japanese..."""" into the Composer window this time.  Panel 3: Alex slumps back in his chair, looking exhausted. He thinks about how repetitive this is.  **[Target Text]** Panel 1 Alex instructs in Cursor's **Chat**: """"Unify code style in `log.py`. Use `snake_case` for function names, write comments in Japanese."""" Panel 1 Alex (thinking): """"Explaining the same things every time is tedious... Code style, how to write comments?**I feel like I'm saying the same things every time**.""""  Panel 2 Alex instructs in Cursor's **Composer**: """"Add a new feature to `log.py`. Use `snake_case` for function names, write comments in Japanese."""" Panel 2 Alex (thinking): """"I explained the same thing again... **Explaining the same things every time wastes time**. Can't I be more efficient?""""  Panel 3 David: """"You can solve that by creating a **`.cursorrules`** file. Writing project rules (code style, how to write comments, etc.) in a `.cursorrules` file makes Cursor **understand automatically**."""" Panel 3 David: """"You won't need to explain the same things every time."""" Panel 3 Alex: """"How do I create `.cursorrules`? Also, **can't I just explain every time? Do I need to create .cursorrules?**"""""
20,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section: The Solution Appears  **[Visual Direction]** Panel 1: [Ref: REF_IMG_3] (David) appears on a video call monitor on Alex's desk. He looks calm and professional. Panel 2: David holds up a finger, explaining a concept. [Ref: REF_IMG_1] (Alex) looks skeptical but interested. Panel 3: A visual metaphor bubble appears above David: A single file icon labeled """".cursorrules"""" feeding information into the AI brain.  **[Target Text]** Panel 1 David: """"You can solve that by creating a **`.cursorrules`** file, Alex."""" Panel 1 David: """"If you write your project rules there, Cursor understands them automatically."""" Panel 1 Alex: """"A .cursorrules file? Can't I just explain it every time? Do I really need to create a file?""""  Panel 2 David: """"Think about it. Writing it once means you never have to explain it again."""""
21,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_2] :: Cursor [Ref: REF_IMG_3] :: David  **[Heading]** - Section: Opening Scene: What's the Problem?  **[Visual Direction]** Panel 1: Alex [Ref: REF_IMG_1] is at his desk, typing into Cursor's Composer. He looks satisfied but slightly hesitant. The screen shows code for `log.py`. Panel 2: Alex runs the code in the terminal. It works, but he has a thought bubble envisioning a crash. Panel 3: David [Ref: REF_IMG_3] appears on a video call window on the monitor.  **[Target Text]** Panel 1 Alex instructs Cursor's **Composer**: """"Add error handling to `log.py` for when trying to read a non-existent file."""" Composer generates code. Panel 1 Alex (thinking): """"The code works, but I feel **error handling is missing**. When trying to read a non-existent file, it might stop with an error...""""  Panel 2 Alex runs `python log.py """"test""""` in the terminal to verify the code works. Panel 2 Alex (thinking): """"It works now, but **when unexpected errors occur**, the program might stop. However, **the code works, so do I need to complete the remaining 30%?**""""  Panel 3 David: """"That's called the **70% problem**. Code generated by AI is often only **about 70% complete**."""" Panel 3 David: """"The remaining 30% includes error handling, security, performance, etc. Let's use Cursor's **Chat** and **Composer** to complete the remaining 30%."""" Panel 3 Alex: """"What does the 70% problem mean? Also, **the code works, so do I need to complete the remaining 30%?**"""""
22,manga_storyboard,"ÅüCRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately. [Ref: REF_IMG_1] :: [Alex.png] [Ref: REF_IMG_2] :: [Cursor.png] [Ref: REF_IMG_3] :: [David.png] ÅüÅyNOTEÅzWords enclosed in ÅybracketsÅz denote emotions or situations  **[Character Reference]** [Ref: REF_IMG_1] :: Alex [Ref: REF_IMG_3] :: David  **[Heading]** - Section: 13.1 The Problem defined  **[Visual Direction]** Panel 1: David [Ref: REF_IMG_3] is explaining with a serious expression, holding up three fingers. Panel 2: Alex [Ref: REF_IMG_1] looks concerned, leaning in. Panel 3: A metaphorical visualization behind David showing a crumbling bridge (representing incomplete code).  **[Target Text]** Panel 1 David: """"First, let's understand the **70% problem**."""" Panel 1 David: """"Code generated by AI **works for basic functionality**, but often lacks **error handling, security, performance**."""" Panel 1 David: """"This is called the **70% problem**. Without completing the remaining 30%, it becomes code **unusable in production**.""""  Panel 2 Alex: """"But **the code works, so do I need to complete the remaining 30%?**"""" Panel 2 David: """"The code works, but **when unexpected errors occur**, the program stops."""" Panel 2 David: """"Also, **insufficient security** makes it easier to attack. **Poor performance** makes it unusable for users."""" Panel 2 David: """"Without completing the remaining 30%, it becomes code **unusable in production**.""""  Panel 3 Alex: """"What happens if I don't solve the 70% problem?"""" Panel 3 David: """"If you don't solve the 70% problem: (1) **program stops when errors occur** (no error handling), (2) **security holes appear** (no security measures), (3) **poor performance** (not optimized), (4) **unusable in production** (error handling, security, performance aren't in place)."""""
