Slide,Shot Type,Visual Image Prompt (EN),Corresponding Script (JP),,,,,,,,,,,,,,,,,,,
Slide 11,8:9 Stacked (Vertical 16:9x2),"### PAGE 11\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Revealing the core concept. Background uses water metaphor for ""flowing to ease"".]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] makes an ""X"" with his arms, rejecting the previous options. A new holographic text appears large: ""WEAK NATURE"". Visual of water flowing downhill labeled ""PATH OF LEAST RESISTANCE"".] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Akari [Ref: REF_IMG_2] looks sheepish and guilty, scratching her cheek. Background shows a small icon of a person sliding down a slide comfortably labeled ""EASY"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (17. 田中: Neither. It is 'Weak Nature'. 18. あかり: Like me watching YouTube...)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",17 田中：「キーエンスの答えはそのどちらでもない。『性弱説（せいじゃくせつ）』だ。人間は別に悪人じゃない。でも、『易（やす）きに流れる』弱い生き物だ、という考え方だ。」 18 あかり：「易きに流れる……。まさにさっきの私ですね。悪気はないけど、ついYouTube見ちゃうみたいな。」,,,,,,,,,,,,,,,,,,,
Slide 12,8:9 Stacked (Vertical 16:9x2),"### PAGE 12\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Contrast between chaos and order. Background illustrates the ""Glass System"".]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] looks serious, dismissing a cloud labeled ""MOTIVATION"" with his hand. The cloud is misty and unreliable.] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] points to a pristine, transparent cube structure. Inside are organized gears working perfectly. Text: ""TRANSPARENT SYSTEM"" and ""NO ESCAPE"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (19. 田中: Motivation is unreliable. We need a glass-walled system.)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",19 田中：「そう。多くの会社は『社員のやる気』に依存する。でも滝崎氏は考えた。『やる気なんて感情は当てにならない』と。だからキーエンスでは、『サボりようがない、でも成果が出れば報われる』というガラス張りのシステムを作ったんだ。」,,,,,,,,,,,,,,,,,,,
Slide 13,8:9 Stacked (Vertical 16:9x2),"### PAGE 13\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Relatable analogy. Diet/Gym metaphor.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] holding a pointer. Background shows a split screen: Left is a person failing alone (""WILLPOWER""), Right is a person with a strict trainer (""MANAGEMENT"").] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Akari [Ref: REF_IMG_2] claps her hands together in realization, smiling. Background shows an eye icon labeled ""MONITORING"" and a checkmark.] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (20. 田中: Like a personal trainer. 21. あかり: I'd do it if watched!)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",20 田中：「例えば、君がダイエットをするとしよう。『絶対痩せるぞ！』という気合い（感情）に頼ると失敗する。でも、『ライザップに入ってトレーナーに管理される』なら痩せるだろう？」 21 あかり：「確かに！ 誰かが見てたり、報告しなきゃいけない環境なら、私でもやります。」,,,,,,,,,,,,,,,,,,,
Slide 14,8:9 Stacked (Vertical 16:9x2),"### PAGE 14\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Lab setting. Concept of ""Average to Super"".]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] explains with a confident smile. Background shows a normal person entering a machine labeled ""SYSTEM"" and coming out as a superhero silhouette labeled ""RESULTS"".] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Akari [Ref: REF_IMG_2] looks down at her hands, realizing something deep. Tanaka [Ref: REF_IMG_1] nods approvingly. Text background: ""FREEDOM = TRAP"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (22. 田中: It's Action Management. 23. あかり: Freedom is hard... 24. 田中: Create your own rules.)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",22 田中：「それがキーエンスの正体だ。彼らはスーパーマンを採用しているわけじゃない。普通の人間を、システムによってスーパーマンのような成果が出せるように導いているんだ。これをマーケティング的に言えば『行動マネジメント』の極致だよ。」 23 あかり：「なるほど……。私、フリーランスだから『自由』が最高だと思ってましたけど、逆に『自由すぎて管理されない』から動けないのかも。」 24 田中：「その通り！ 自分で自分を管理するのは至難の業だ。だからこそ、あえて『自分を管理するルール』を作る。それが個人の成果を最大化する第一歩なんだ。」,,,,,,,,,,,,,,,,,,,
Slide 15,8:9 Stacked (Vertical 16:9x2),"### PAGE 15\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Transition to Chapter 2. Serious scrutiny. Background shows schedule books.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] holds up Akari's notebook (which is blank). He looks skeptical/critical. Akari [Ref: REF_IMG_2] flinches.] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] reveals a holographic document that is densely packed with data. Text: ""REALITY OF 20M INCOME"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (25. 田中: I don't trust your 'work'. Look at this.)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",25 田中：「あかりちゃん、君の『仕事しました』は信用できないな。キーエンスの社員の日報を見たことがあるかい？ これが平均年収2000万円プレイヤーの『現実』だよ。」,,,,,,,,,,,,,,,,,,,
Slide 16,8:9 Stacked (Vertical 16:9x2),"### PAGE 16\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Detailing the data. Background shows intense graphical data.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] points to a holographic bar code like timeline. Sections are color-coded: ""TRAVEL"", ""OFFICE"", ""MEETING"". He emphasizes the ""MEETING"" part.] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Akari [Ref: REF_IMG_2] holds her head, looking overwhelmed by the data density. Background shows a clock ticking with ""EVERY MINUTE COUNTS"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (26. 田中: Minute-by-minute recording. 27. あかり: It's suffocating!)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",26 田中：「彼らは自分の行動を『分単位』で記録する。でも、ただ書くんじゃない。『移動時間』『社内作業』『商談』……行動をカテゴリー分けして、『顧客と向き合っている時間（面談時間）』が何分あったか、毎日グラフ化されるんだ。」 27 あかり：「うわっ……細かい！ 息が詰まりそうです。なんでそこまでするんですか？」,,,,,,,,,,,,,,,,,,,
Slide 17,8:9 Stacked (Vertical 16:9x2),"### PAGE 17\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Visualizing the surveillance and efficiency. GPS motif.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] with a serious expression. Background shows a map with a GPS pin and a route line. A ""REST"" icon is crossed out.] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] holds a golden hourglass. Text: ""GOLDEN TIME = SALES"". He looks intense, emphasizing value.] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (28. 田中: GPS tracking to cut waste and increase Golden Time.)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",28 田中：「人間は弱いからだ。放っておくと、営業マンは『行きやすい客』の所へ行ったり、『移動時間』を休憩に使ったりする。だからキーエンスは、『外出中は上司にGPSで居場所がバレる』なんて噂が出るほど徹底管理する。全ては、『利益を生まない時間』を1分でも削り、『商談』というゴールデンタイムを増やすためだ。」,,,,,,,,,,,,,,,,,,,
Slide 18,8:9 Stacked (Vertical 16:9x2),"### PAGE 18\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Confronting the truth. The ""Fake Work"" concept.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Akari [Ref: REF_IMG_2] looks terrified, imagining a GPS tracker on herself. Background: ""YouTube"" icon and ""2 HOURS"" text in red.] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] points sharply at the viewer. Background text: ""FAKE WORK"" vs ""REAL WORK"". His expression is stern but educational.] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (29. あかり: GPS?! I waste 2 hours... 30. 田中: That is 'Fake Work'!)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",29 あかり：「ひえぇ……GPSまで！？ 私なんて『リサーチ』とか言って、ダラダラYouTube見てる時間が2時間くらいあります……。」 30 田中：「それだよ！ フリーランスが稼げない最大の理由は、『作業したつもり時間』が多いからだ。キーエンス流なら、『YouTubeを見ていた時間』は『無駄』として冷酷にカウントされる。」,,,,,,,,,,,,,,,,,,,
Slide 19,8:9 Stacked (Vertical 16:9x2),"### PAGE 19\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Understanding and Resolution. Positive shift.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Akari [Ref: REF_IMG_2] looks enlightened and determined, fist clenched. Background shows a switch from ""EARN 1M"" (crossed out) to ""TALK 60MIN"" (circled).] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] smiles broadly, arms crossed. Background shows a solid structure labeled ""HIGH PROFIT STRUCTURE"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (31. あかり: Manage actions, not results! 32. 田中: Exactly! Structural high profit.)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",31 あかり：「耳が痛いです……。でも、『結果』じゃなくて『行動』を管理するって、こういうことなんですね。『100万稼ぐ』じゃなくて、『今日はお客さんと話す時間を30分から60分に増やす』。これなら私でもコントロールできます！」 32 田中：「その通り！ 感情を排して、時間というリソースを『成果が出る場所』だけに投下する。これが『構造的な高収益』の正体さ。」,,,,,,,,,,,,,,,,,,,
Slide 20,8:9 Stacked (Vertical 16:9x2),"### PAGE 20\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Roleplay scenario. Factory setting background.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] hands Akari a small high-tech device (sensor). Background shows a cookie factory line.] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Akari [Ref: REF_IMG_2] poses as a salesperson, looking eager but amateurish. She holds the sensor up. Background text: ""SPEED 2X!"" ""CHEAP!"" in bubbly font.] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (33. 田中: Sell this sensor. 34. あかり: It's fast and cheap!)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",33 田中：「さて、最後の秘密だ。あかりちゃん、このクッキー工場の社長に、『センサー』を売り込んでみてくれ。」 34 あかり：「えっ、営業ですか？ うーん……。『社長！ このセンサーは最新チップ搭載で、処理速度が2倍なんです！ 今ならお安くしますよ！』……とか？」,,,,,,,,,,,,,,,,,,,
Slide 21,8:9 Stacked (Vertical 16:9x2),"### PAGE 21\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Observation and Calculation. Insightful atmosphere.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] holds a magnifying glass, observing a factory line where cookies are breaking. Text: ""OBSERVATION"".] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Akari [Ref: REF_IMG_2] is doing mental math, looking shocked. Background shows coins falling away. Text: ""LOSS: 30 MILLION"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (35. 田中: That is 'Spec Selling'. Observe the line. 36. 田中: How much loss per stop? 37. あかり: 30 Million loss?!)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",35 田中：「残念！ それじゃ1円も売れない。典型的な『スペック売り』だね。キーエンスの営業マンなら、まず工場に入り込んで、じっとラインを観察するんだ。」 36 田中：「そして、こう聞く。『社長、このライン、1日に何回止まりますか？』『止まっている間、従業員の手が空きますよね。その人件費と、廃棄するクッキーの損害、年間でいくらになりますか？』」 37 あかり：「えっと……1回止まると1万円の損だとして、毎日10回止まるから……年間3000万円以上の損！？」,,,,,,,,,,,,,,,,,,,
Slide 22,8:9 Stacked (Vertical 16:9x2),"### PAGE 22\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [The Irresistible Offer. Business negotiation vibe.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] presenting a holographic proposal. Left side: ""COST 5M"". Right side: ""GAIN 25M"". He looks confident.] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Akari [Ref: REF_IMG_2] looks amazed, hands on cheeks. Background shows a balance scale tipping heavily towards ""PROFIT"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (38. 田中: Cost 5M, Profit 25M. 39. あかり: I have to buy it!)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",38 田中：「そこで初めて提案するんだ。『このセンサーを入れれば、割れたクッキーを自動で弾くので、ラインは止まりません。導入費は500万円ですが、初年度だけで2500万円の利益が出ます。社長、これを入れませんか？』」 39 あかり：「うわっ……！ それ言われたら、買わない理由がないじゃないですか！ 500万払えば2500万戻ってくるんだから！」,,,,,,,,,,,,,,,,,,,
Slide 23,8:9 Stacked (Vertical 16:9x2),"### PAGE 23\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Core Philosophy Revealed. Money and Value.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Tanaka [Ref: REF_IMG_1] holds a sensor that transforms into a stack of gold bars. Text: ""ADDED VALUE"".] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] makes a ""No"" gesture. Text: ""NO DISCOUNT"". Background shows a price tag remaining fixed while value rises.] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (40. 田中: We sell Profit, not Machines. 41. 田中: Never discount money.)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",40 田中：「そう！ これがキーエンスの言う『付加価値』、もっと言えば『経済的付加価値』だ。彼らはセンサーという『機械』を売っているんじゃない。『利益（お金）』を売っているんだよ。」 41 田中：「顧客の『高性能なのが欲しい』という言葉を信じるな。その裏にある『損を減らしたい』『儲けたい』という潜在ニーズを数字で突きつける。だからキーエンスは、値引きを一切しない。 お金を売っているのに、値引きする必要なんてないだろう？」,,,,,,,,,,,,,,,,,,,
Slide 24,8:9 Stacked (Vertical 16:9x2),"### PAGE 24\n◆CRITICAL: Refer to [Ref: REF_IMG_N] and reproduce the character 100% accurately.\n[Ref: REF_IMG_1] :: tanaka_ref.jpg\n[Ref: REF_IMG_2] :: akari_ref.jpg\n◆【NOTE】Words enclosed in 【brackets】 denote emotions or situations\n◆【ABSOLUTE CHARACTER SPEC】: (Tanaka: Blue shirt, white pants, NO glasses. Akari: Yellow sweater.)\n[Ref: REF_IMG_1] :: Tanaka: (35yo male, vibrant blue shirt, white trousers.)\n[Ref: REF_IMG_2] :: Akari: (26yo female, yellow knit sweater.)\n◆【SCENE & ATMOSPHERE】: [Application to self. Akari's growth.]\n\n◆【VISUALS & DIALOGUE】:\nPanel 1 Upper: [Akari [Ref: REF_IMG_2] imagining herself presenting a website. Holographic text: ""COST -100k"" and ""FEE = FREE"". She looks confident.] -> DIALOGUE: (Bubble Type)\nPanel 2 Lower: [Tanaka [Ref: REF_IMG_1] gives a thumbs up. Background shows a ladder leading to a high income goal. Text: ""HOW MUCH PROFIT?"".] -> DIALOGUE: (Bubble Type)\n◆【DIALOGUE & SFX LIST】: (42. あかり: The website is practically free! 43. 田中: Exactly! How much do they gain?)\n◆【THE CHARACTER LOCKDOWN】: (See above)\n- [Ref: REF_IMG_1] Tanaka: (Blue shirt, white pants)\n- [Ref: REF_IMG_2] Akari: (Yellow sweater)\n◆【NEGATIVE PROMPT】(dialogue, text inside face, Japanese text, low quality, wrong outfit)\n\n◆【このページの出力形式】Aspect Ratio 8:9. Layout: 2 panels stacked. Style: Manga.",42 あかり：「すごすぎます……。私、『Webサイト作ります』って言ってたけど、それじゃダメなんですね。『このサイトを作れば、集客コストが月10万円下がります。だから制作費50万円は実質タダです』って言えばいいんだ！」 43 田中：「そういうこと！ 『君にお金を払うと、いくら儲かるのか？』。この質問に即答できるようになれば、君の年収もキーエンス級に近づくはずだよ。」,,,,,,,,,,,,,,,,,,,
