通しNo,種別,作成対象,親スライド番号,ファイル名案,表示するテキスト（スライドに書く文言）,背景スタイル,対応ナレーション（該当部分の冒頭～末尾）
16,間,必要,503,202620503-2.png,Kindle電子書籍こそが／『仕組み資産』を作るための／最強のツール,単色（ターコイズ）＋白文字,しかし、これは現実的かつ論理的な話なんですね。～最強のツールなんです。
17,タイトル,不要（既存）,504,202620504.png,（既存）Kindle印税 3つの誤解 等,既存,では、Kindle印税について、～ひっくり返していきましょう。
18,間,必要,504,202620504-2.png,株式投資・不動産投資／巨額の資金・大きなリスク,白背景＋水色文字・中央,これは、株式投資や不動産投資の話です。～リスクも非常に大きいですよね。
20,間,必要,504,202620504-3.png,Kindleの場合／初期投資ほぼゼロ／1冊出版＝毎月5000円の不労所得,単色（ターコイズ）＋白文字,一方、Kindle電子書籍の場合は違います。～手に入れる現実です。
21,タイトル,不要（既存）,505,202620505.png,（既存）誤解その2 文章力について 等,既存,次の誤解です。誤解その2：～
22,間,必要,505,202620505-2.png,真実／『市場が求めているテーマを選び、正しくリサーチすること』,単色（ターコイズ）＋白文字,真実は：『市場が求めているテーマを選び、正しくリサーチすること』～テーマが全てを決めるんです。
24,タイトル,不要（既存）,506,202620506.png,（既存）誤解その3 埋もれてしまう 等,既存,最後の誤解です。誤解その3：～
25,間,必要,506,202620506-1.png,『複数冊の積み上げ戦略』／安定した不労所得を生み出すカギ,単色（ターコイズ）＋白文字,しかし、複数冊を積み上げることで、～生み出すカギなんです。
26,タイトル,不要（既存）,507,202620507.png,（既存）月20万円達成シミュレーション 等,既存,では、具体的な数字を見てみましょう。～
27,間,必要,507,202620507-2.png,月20万円達成の目安／約40冊,単色（ターコイズ）＋白文字,では、月20万円に絞って考えると、大体40冊程度あれば達成できます。
28,間,必要,507,202620507-3.png,今から始めれば、4年後には月20万円の不労所得が自動で／（ツールでさらに短縮可）,白背景＋水色文字・中央,つまり、今から始めれば、～『現実的』である理由です。
29,タイトル,不要（既存）,508,202620508.png,（既存）市場データ・成長市場 等,既存,この話が夢ではない証拠として、市場データを見てください。～
30,間,必要,508,202620508-2.png,衰退する市場ではなく、／成長する市場に乗っかる,単色（ターコイズ）＋白文字,つまり、あなたが今から始めることは、～非常に有利な状況なんですね。
31,タイトル,不要（既存）,509,202620509.png,（既存）失敗と成功の違い 等,既存,ここで、最も重要なポイントがあります。失敗する人と成功する人の違いです。～
32,タイトル,不要（既存）,510,202620510.png,（既存）5段階フィルター 等,既存,では、『市場優先』で正しいテーマを選ぶ方法は何か？それが『5段階フィルター』です。～
33,タイトル,不要（既存）,511,202620511.png,（既存）これからの3日間 等,既存,これから3日間で、～
34,タイトル,不要（既存）,512,202620512.png,（既存）Day4 個別相談 等,既存,Day4では、2,980円の個別実体験相談に招待します。～
35,間,必要,512,202620512-1.png,あなた専用のシミュレーション／出版すべきテーマ3本の提案／各テーマの売上予測,白背景＋水色文字・中央,あなた専用のシミュレーションを作成し、～売上予測が含まれます。
36,間,必要,512,202620512-2.png,一緒に『仕組み資産』を構築しましょう,単色（ターコイズ）＋白文字,一緒に『仕組み資産』を構築しましょう。～応援しています。
35,タイトル,不要（既存）,513,202620513.png,（既存）エンディング 等,既存,それでは、明日の朝9時に、～
36,間,必要,513,202620513-1.png,明日の朝9時に／Day1のメールをお送りします／見逃さないようにお願いします,白背景＋水色文字・中央,それでは、明日の朝9時に、～見逃さないようにお願いします。
37,間,必要,513,202620513-2.png,ありがとうございました,単色（ターコイズ）＋白文字,ありがとうございました。
